Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (CZK),Total (CZK),ID,Currency conversion fee (CZK)
Market buy,2022-01-04 14:30:51,US88160R1014,TSLA,"Tesla",0.0030588900,1192.00,USD,0.04564,,80.00,EOF1734155043,0.12
Market buy,2022-01-04 14:30:55,US5801351017,MCD,"McDonald's",0.0135305000,269.48,USD,0.04564,,80.00,EOF1734155169,0.12
Market buy,2022-01-04 14:30:56,US0231351067,AMZN,"Amazon",0.0017316300,3421.56,USD,0.04564,,129.99,EOF1734155183,0.19
Market buy,2022-01-07 09:51:17,IE00B3XXRP09,VUSA,"Vanguard S&P 500 (Dist)",0.0465250000,65.82,GBP,0.03402,,90.00,EOF1739814043,
Market buy,2022-01-07 14:30:11,US0378331005,AAPL,"Apple",0.0133890000,172.97,USD,0.04631,,50.00,EOF1739826668,
Market buy,2022-01-07 14:30:11,US67066G1040,NVDA,"Nvidia",0.0114960000,282.01,USD,0.04631,,70.00,EOF1739826531,
Market buy,2022-01-07 14:30:15,US30303M1027,META,"Meta Platforms",0.0041620000,333.85,USD,0.04631,,30.00,EOF1739827684,
Market buy,2022-01-07 14:30:15,US0231351067,AMZN,"Amazon",0.0019740500,3280.00,USD,0.04631,,140.00,EOF1739827772,0.21
Market buy,2022-01-07 14:30:15,US5801351017,MCD,"McDonald's",0.0171920000,268.99,USD,0.04631,,100.00,EOF1739827585,0.15
Market buy,2022-01-07 14:30:17,US02079K1079,GOOG,"Alphabet (Class C)",0.0030097200,2766.00,USD,0.04631,,180.00,EOF1739828128,0.27
Market buy,2022-01-07 14:30:17,US1912161007,KO,"Coca-Cola",0.1994170000,60.30,USD,0.04631,,260.00,EOF1739828175,0.39
Market buy,2022-01-07 14:30:22,US5949181045,MSFT,"Microsoft",0.0117555000,314.71,USD,0.04631,,80.00,EOF1739829218,0.12
Market buy,2022-01-10 18:24:27,US01609W1027,BABA,"Alibaba",0.0764454000,127.47,USD,0.04647,,209.99,EOF1744960483,0.31
Market buy,2022-01-10 18:26:51,US67066G1040,NVDA,"Nvidia",0.0208558000,263.60,USD,0.04646,,118.50,EOF1744960858,0.18
Market buy,2022-01-10 18:26:51,US0231351067,AMZN,"Amazon",0.0028799600,3181.50,USD,0.04646,,197.50,EOF1744960861,0.30
Market buy,2022-01-10 18:26:51,US02079K1079,GOOG,"Alphabet (Class C)",0.0006699700,2739.37,USD,0.04646,,39.50,EOF1744960864,
Market buy,2022-01-10 18:26:51,US5949181045,MSFT,"Microsoft",0.0059174000,310.15,USD,0.04646,,39.50,EOF1744960867,
Market buy,2022-01-10 18:26:51,US0378331005,AAPL,"Apple",0.0537212000,170.56,USD,0.04646,,197.50,EOF1744960870,0.30
Market buy,2022-01-10 18:26:52,US5801351017,MCD,"McDonald's",0.0138448000,264.72,USD,0.04646,,79.00,EOF1744960878,0.12
Market buy,2022-01-10 18:27:08,US1912161007,KO,"Coca-Cola",0.0604980000,60.58,USD,0.04646,,79.00,EOF1744960917,0.12
Market buy,2022-01-11 08:00:37,IE00B3XXRP09,VUSA,"Vanguard S&P 500 (Dist)",0.0207330000,65.18,GBP,0.03421,,39.50,EOF1744985839,
Market buy,2022-01-20 08:00:34,IE00B3XXRP09,VUSA,"Vanguard S&P 500 (Dist)",0.3245990000,63.37,GBP,0.03433,,600.02,EOF1756091953,0.90
Market buy,2022-01-20 14:30:09,US5801351017,MCD,"McDonald's",0.0127737000,256.48,USD,0.04680,,70.00,EOF1757159470,
Market buy,2022-01-20 14:30:10,US1912161007,KO,"Coca-Cola",0.0537080000,61.00,USD,0.04680,,70.00,EOF1757159823,
Market buy,2022-01-20 14:30:11,US5949181045,MSFT,"Microsoft",0.0151094000,309.29,USD,0.04680,,100.00,EOF1757160146,0.15
Market buy,2022-01-20 14:30:12,US0231351067,AMZN,"Amazon",0.0013398200,3139.00,USD,0.04680,,89.99,EOF1757160525,0.13
Market buy,2022-01-20 14:30:13,US0378331005,AAPL,"Apple",0.0196356000,166.85,USD,0.04680,,70.00,EOF1757160704,
Market buy,2022-01-24 18:22:26,US5949181045,MSFT,"Microsoft",0.0112973000,288.05,USD,0.04602,,70.70,EOF1762962551,
Market buy,2022-01-24 18:22:26,US0378331005,AAPL,"Apple",0.0206157000,157.85,USD,0.04602,,70.70,EOF1762962548,
Market buy,2022-01-24 18:22:26,US30303M1027,META,"Meta Platforms",0.0054452000,298.81,USD,0.04602,,35.35,EOF1762962554,
Market buy,2022-01-24 18:22:26,US0231351067,AMZN,"Amazon",0.0023306000,2788.42,USD,0.04602,,141.40,EOF1762962557,0.21
Market buy,2022-01-24 18:27:44,US7561091049,O,"Realty Income",0.1723430000,66.66,USD,0.04602,,250.00,EOF1762963454,0.38
Market buy,2022-01-25 08:00:32,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",0.1438010000,79.86,USD,0.04600,,249.99,EOF1762994788,0.37
Market buy,2022-01-25 08:00:36,IE00B3XXRP09,VUSA,"Vanguard S&P 500 (Dist)",0.1038000000,61.31,GBP,0.03410,,186.86,EOF1762995643,0.28
Market buy,2022-01-25 09:43:35,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",0.2872430000,80.15,USD,0.04611,,500.00,EOF1763804593,0.75
Market buy,2022-01-25 14:30:19,US67066G1040,NVDA,"Nvidia",0.0509604000,225.30,USD,0.04599,,250.01,EOF1763823074,0.38
Market buy,2022-01-25 14:30:37,US0231351067,AMZN,"Amazon",0.0040097000,2863.40,USD,0.04599,,250.01,EOF1763823972,0.38
Market buy,2022-01-31 09:43:59,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",0.2803550000,81.40,USD,0.04571,,500.00,EOF1772131696,0.75
Market buy,2022-01-31 09:47:39,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",0.0365130000,81.37,USD,0.04571,,65.00,EOF1772131805,
Market buy,2022-01-31 14:30:16,US02079K1079,GOOG,"Alphabet (Class C)",0.0010251700,2689.00,USD,0.04594,,60.00,EOF1772145501,
Market buy,2022-01-31 14:30:21,US5949181045,MSFT,"Microsoft",0.0089170000,309.15,USD,0.04594,,60.00,EOF1772147295,
Market buy,2022-01-31 14:30:25,US67066G1040,NVDA,"Nvidia",0.0069281000,232.11,USD,0.04594,,35.00,EOF1772147876,
Market buy,2022-01-31 14:30:29,US0378331005,AAPL,"Apple",0.0162092000,170.07,USD,0.04594,,60.00,EOF1772148566,
Market buy,2022-01-31 14:30:30,US30303M1027,META,"Meta Platforms",0.0053221000,302.15,USD,0.04594,,35.00,EOF1772148899,
Market buy,2022-01-31 14:30:30,US1912161007,KO,"Coca-Cola",0.0304870000,60.28,USD,0.04594,,40.00,EOF1772148885,
Market buy,2022-01-31 14:30:31,US5801351017,MCD,"McDonald's",0.0071952000,255.42,USD,0.04594,,40.00,EOF1772148962,
Market buy,2022-01-31 14:31:02,US0231351067,AMZN,"Amazon",0.0010254800,2912.18,USD,0.04594,,65.00,EOF1772151161,
Market buy,2022-01-31 14:31:05,US88160R1014,TSLA,"Tesla",0.0021163000,868.39,USD,0.04594,,40.00,EOF1772151243,
Market buy,2022-02-03 12:59:32,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",0.1840070000,83.30,USD,0.04680,,328.00,EOF1777735418,0.49
